first_name,middle_name,last_name,gender,date_of_birth,blood_group,aadhaar_number,emis_number,mobile,phone,email,photo_url,admission_number,roll_number,admission_date,academic_year_id,class_id,section_id,class_name,class_code,section_name,section_code,father_name,mother_name,address,status
Student3012,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3012,DPSH-CAPTEST-ROLL-3012,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3013,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3013,DPSH-CAPTEST-ROLL-3013,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3014,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3014,DPSH-CAPTEST-ROLL-3014,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3015,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3015,DPSH-CAPTEST-ROLL-3015,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3016,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3016,DPSH-CAPTEST-ROLL-3016,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3017,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3017,DPSH-CAPTEST-ROLL-3017,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3018,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3018,DPSH-CAPTEST-ROLL-3018,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3019,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3019,DPSH-CAPTEST-ROLL-3019,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3020,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3020,DPSH-CAPTEST-ROLL-3020,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3021,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3021,DPSH-CAPTEST-ROLL-3021,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3022,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3022,DPSH-CAPTEST-ROLL-3022,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3023,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3023,DPSH-CAPTEST-ROLL-3023,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3024,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3024,DPSH-CAPTEST-ROLL-3024,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3025,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3025,DPSH-CAPTEST-ROLL-3025,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3026,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3026,DPSH-CAPTEST-ROLL-3026,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3027,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3027,DPSH-CAPTEST-ROLL-3027,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3028,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3028,DPSH-CAPTEST-ROLL-3028,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3029,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3029,DPSH-CAPTEST-ROLL-3029,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3030,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3030,DPSH-CAPTEST-ROLL-3030,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3031,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3031,DPSH-CAPTEST-ROLL-3031,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3032,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3032,DPSH-CAPTEST-ROLL-3032,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3033,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3033,DPSH-CAPTEST-ROLL-3033,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3034,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3034,DPSH-CAPTEST-ROLL-3034,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3035,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3035,DPSH-CAPTEST-ROLL-3035,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3036,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3036,DPSH-CAPTEST-ROLL-3036,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3037,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3037,DPSH-CAPTEST-ROLL-3037,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3038,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3038,DPSH-CAPTEST-ROLL-3038,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3039,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3039,DPSH-CAPTEST-ROLL-3039,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3040,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3040,DPSH-CAPTEST-ROLL-3040,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3041,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3041,DPSH-CAPTEST-ROLL-3041,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3042,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3042,DPSH-CAPTEST-ROLL-3042,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3043,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3043,DPSH-CAPTEST-ROLL-3043,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3044,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3044,DPSH-CAPTEST-ROLL-3044,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3045,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3045,DPSH-CAPTEST-ROLL-3045,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3046,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3046,DPSH-CAPTEST-ROLL-3046,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3047,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3047,DPSH-CAPTEST-ROLL-3047,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3048,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3048,DPSH-CAPTEST-ROLL-3048,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3049,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3049,DPSH-CAPTEST-ROLL-3049,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3050,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3050,DPSH-CAPTEST-ROLL-3050,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3051,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3051,DPSH-CAPTEST-ROLL-3051,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3052,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3052,DPSH-CAPTEST-ROLL-3052,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3053,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3053,DPSH-CAPTEST-ROLL-3053,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3054,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3054,DPSH-CAPTEST-ROLL-3054,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3055,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3055,DPSH-CAPTEST-ROLL-3055,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3056,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3056,DPSH-CAPTEST-ROLL-3056,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3057,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3057,DPSH-CAPTEST-ROLL-3057,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3058,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3058,DPSH-CAPTEST-ROLL-3058,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3059,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3059,DPSH-CAPTEST-ROLL-3059,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3060,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3060,DPSH-CAPTEST-ROLL-3060,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3061,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3061,DPSH-CAPTEST-ROLL-3061,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3062,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3062,DPSH-CAPTEST-ROLL-3062,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3063,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3063,DPSH-CAPTEST-ROLL-3063,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3064,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3064,DPSH-CAPTEST-ROLL-3064,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3065,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3065,DPSH-CAPTEST-ROLL-3065,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,c04603f2-c727-403b-818b-5f01698ce754,Class 8,CLASS_8,Section B,SEC_B,,,,ACTIVE
Student3066,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3066,DPSH-CAPTEST-ROLL-3066,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3067,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3067,DPSH-CAPTEST-ROLL-3067,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3068,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3068,DPSH-CAPTEST-ROLL-3068,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3069,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3069,DPSH-CAPTEST-ROLL-3069,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3070,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3070,DPSH-CAPTEST-ROLL-3070,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3071,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3071,DPSH-CAPTEST-ROLL-3071,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3072,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3072,DPSH-CAPTEST-ROLL-3072,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3073,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3073,DPSH-CAPTEST-ROLL-3073,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3074,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3074,DPSH-CAPTEST-ROLL-3074,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3075,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3075,DPSH-CAPTEST-ROLL-3075,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3076,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3076,DPSH-CAPTEST-ROLL-3076,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
