admission_number,first_name,last_name,gender,date_of_birth,admission_date,roll_number,academic_year_code,class_code,section_code,status
ADM2025078,Manasa,Narra,FEMALE,2013-07-23,2025-06-01,18,AY2025-2026,C6,A,ACTIVE
ADM2025079,Deepak,Thota,MALE,2013-08-24,2025-06-01,19,AY2025-2026,C6,A,ACTIVE
ADM2025080,Pravallika,Avula,FEMALE,2013-09-25,2025-06-01,20,AY2025-2026,C6,A,ACTIVE
ADM2025081,Vinay,Siripuram,MALE,2013-10-26,2025-06-01,21,AY2025-2026,C6,A,ACTIVE
ADM2025082,Swathi,Yerra,FEMALE,2013-11-27,2025-06-01,22,AY2025-2026,C6,A,ACTIVE
ADM2025083,Dhanush,Goli,MALE,2013-12-28,2025-06-01,23,AY2025-2026,C6,A,ACTIVE
ADM2025084,Deepika,Sunkari,FEMALE,2013-01-01,2025-06-01,24,AY2025-2026,C6,A,ACTIVE
ADM2025085,Varun,Mothukuri,MALE,2013-02-02,2025-06-01,25,AY2025-2026,C6,A,ACTIVE
ADM2025086,Sahithi,Dasari,FEMALE,2013-03-03,2025-06-01,26,AY2025-2026,C6,A,ACTIVE
ADM2025087,Praneeth,Challa,MALE,2013-04-04,2025-06-01,27,AY2025-2026,C6,A,ACTIVE
ADM2025088,Sahithi,Boya,FEMALE,2013-05-05,2025-06-01,28,AY2025-2026,C6,A,ACTIVE
ADM2025089,Sarath,Kammari,MALE,2013-06-06,2025-06-01,29,AY2025-2026,C6,A,ACTIVE
ADM2025090,Yamini,Vangala,FEMALE,2013-07-07,2025-06-01,30,AY2025-2026,C6,A,ACTIVE
ADM2025091,Aarav,Nallam,MALE,2013-08-08,2025-06-01,1,AY2025-2026,C6,B,ACTIVE
ADM2025092,Sneha,Katakam,FEMALE,2013-09-09,2025-06-01,2,AY2025-2026,C6,B,ACTIVE
ADM2025093,Varun,Gampa,MALE,2013-10-10,2025-06-01,3,AY2025-2026,C6,B,ACTIVE
ADM2025094,Radhika,Peddinti,FEMALE,2013-11-11,2025-06-01,4,AY2025-2026,C6,B,ACTIVE
ADM2025095,Koushik,Komuravelli,MALE,2013-12-12,2025-06-01,5,AY2025-2026,C6,B,ACTIVE
ADM2025096,Sanjana,Polisetty,FEMALE,2013-01-13,2025-06-01,6,AY2025-2026,C6,B,ACTIVE
ADM2025097,Chaitanya,Katta,MALE,2013-02-14,2025-06-01,7,AY2025-2026,C6,B,ACTIVE
ADM2025098,Pallavi,Chilukuri,FEMALE,2013-03-15,2025-06-01,8,AY2025-2026,C6,B,ACTIVE
ADM2025099,Sai,Medasani,MALE,2013-04-16,2025-06-01,9,AY2025-2026,C6,B,ACTIVE
ADM2025100,Vennela,Nimmagadda,FEMALE,2013-05-17,2025-06-01,10,AY2025-2026,C6,B,ACTIVE
ADM2025101,Vijay,Rao,MALE,2013-06-18,2025-06-01,11,AY2025-2026,C6,B,ACTIVE
ADM2025102,Yamini,Reddy,FEMALE,2013-07-19,2025-06-01,12,AY2025-2026,C6,B,ACTIVE
ADM2025103,Vinay,Sharma,MALE,2013-08-20,2025-06-01,13,AY2025-2026,C6,B,ACTIVE
ADM2025104,Pratyusha,Goud,FEMALE,2013-09-21,2025-06-01,14,AY2025-2026,C6,B,ACTIVE
ADM2025105,Tarun,Chowdary,MALE,2013-10-22,2025-06-01,15,AY2025-2026,C6,B,ACTIVE
ADM2025106,Suhasini,Varma,FEMALE,2013-11-23,2025-06-01,16,AY2025-2026,C6,B,ACTIVE
ADM2025107,Santosh,Naidu,MALE,2013-12-24,2025-06-01,17,AY2025-2026,C6,B,ACTIVE
ADM2025108,Geetha,Gupta,FEMALE,2013-01-25,2025-06-01,18,AY2025-2026,C6,B,ACTIVE
ADM2025109,Pranav,Murthy,MALE,2013-02-26,2025-06-01,19,AY2025-2026,C6,B,ACTIVE
ADM2025110,Deepika,Sastry,FEMALE,2013-03-27,2025-06-01,20,AY2025-2026,C6,B,ACTIVE
ADM2025111,Vishnu,Babu,MALE,2013-04-28,2025-06-01,21,AY2025-2026,C6,B,ACTIVE
ADM2025112,Priyanka,Yadav,FEMALE,2013-05-01,2025-06-01,22,AY2025-2026,C6,B,ACTIVE
ADM2025113,Srinivas,Patel,MALE,2013-06-02,2025-06-01,23,AY2025-2026,C6,B,ACTIVE
ADM2025114,Pravallika,Venkatesh,FEMALE,2013-07-03,2025-06-01,24,AY2025-2026,C6,B,ACTIVE
ADM2025115,Chaitanya,Vemula,MALE,2013-08-04,2025-06-01,25,AY2025-2026,C6,B,ACTIVE
ADM2025116,Tanmayi,Bandi,FEMALE,2013-09-05,2025-06-01,26,AY2025-2026,C6,B,ACTIVE
ADM2025117,Chandra,Kandula,MALE,2013-10-06,2025-06-01,27,AY2025-2026,C6,B,ACTIVE
ADM2025118,Ishwarya,Gudepu,FEMALE,2013-11-07,2025-06-01,28,AY2025-2026,C6,B,ACTIVE
ADM2025119,Kalyan,Singireddy,MALE,2013-12-08,2025-06-01,29,AY2025-2026,C6,B,ACTIVE
ADM2025120,Varshini,Pothula,FEMALE,2013-01-09,2025-06-01,30,AY2025-2026,C6,B,ACTIVE
ADM2025121,Arjun,Kondapalli,MALE,2012-02-10,2025-06-01,1,AY2025-2026,C7,A,ACTIVE
ADM2025122,Pravallika,Malkapuram,FEMALE,2012-03-11,2025-06-01,2,AY2025-2026,C7,A,ACTIVE
ADM2025123,Anirudh,Chintala,MALE,2012-04-12,2025-06-01,3,AY2025-2026,C7,A,ACTIVE
ADM2025124,Sravya,Gaddam,FEMALE,2012-05-13,2025-06-01,4,AY2025-2026,C7,A,ACTIVE
ADM2025125,Vishnu,Boddu,MALE,2012-06-14,2025-06-01,5,AY2025-2026,C7,A,ACTIVE
ADM2025126,Bhavya,Maddela,FEMALE,2012-07-15,2025-06-01,6,AY2025-2026,C7,A,ACTIVE
ADM2025127,Sameer,Komati,MALE,2012-08-16,2025-06-01,7,AY2025-2026,C7,A,ACTIVE
ADM2025128,Deepika,Narra,FEMALE,2012-09-17,2025-06-01,8,AY2025-2026,C7,A,ACTIVE
ADM2025129,Sarath,Thota,MALE,2012-10-18,2025-06-01,9,AY2025-2026,C7,A,ACTIVE
ADM2025130,Sahithi,Avula,FEMALE,2012-11-19,2025-06-01,10,AY2025-2026,C7,A,ACTIVE
ADM2025131,Harsha,Siripuram,MALE,2012-12-20,2025-06-01,11,AY2025-2026,C7,A,ACTIVE
ADM2025132,Sravya,Yerra,FEMALE,2012-01-21,2025-06-01,12,AY2025-2026,C7,A,ACTIVE
ADM2025133,Venkatesh,Goli,MALE,2012-02-22,2025-06-01,13,AY2025-2026,C7,A,ACTIVE
ADM2025134,Sirisha,Sunkari,FEMALE,2012-03-23,2025-06-01,14,AY2025-2026,C7,A,ACTIVE
ADM2025135,Rahul,Mothukuri,MALE,2012-04-24,2025-06-01,15,AY2025-2026,C7,A,ACTIVE
ADM2025136,Sanjana,Dasari,FEMALE,2012-05-25,2025-06-01,16,AY2025-2026,C7,A,ACTIVE
ADM2025137,Rohit,Challa,MALE,2012-06-26,2025-06-01,17,AY2025-2026,C7,A,ACTIVE
ADM2025138,Pavani,Boya,FEMALE,2012-07-27,2025-06-01,18,AY2025-2026,C7,A,ACTIVE
ADM2025139,Kalyan,Kammari,MALE,2012-08-28,2025-06-01,19,AY2025-2026,C7,A,ACTIVE
ADM2025140,Ananya,Vangala,FEMALE,2012-09-01,2025-06-01,20,AY2025-2026,C7,A,ACTIVE
ADM2025141,Abhinav,Nallam,MALE,2012-10-02,2025-06-01,21,AY2025-2026,C7,A,ACTIVE
ADM2025142,Ramya,Katakam,FEMALE,2012-11-03,2025-06-01,22,AY2025-2026,C7,A,ACTIVE
ADM2025143,Srikanth,Gampa,MALE,2012-12-04,2025-06-01,23,AY2025-2026,C7,A,ACTIVE
ADM2025144,Aadhya,Peddinti,FEMALE,2012-01-05,2025-06-01,24,AY2025-2026,C7,A,ACTIVE
ADM2025145,Vignesh,Komuravelli,MALE,2012-02-06,2025-06-01,25,AY2025-2026,C7,A,ACTIVE
ADM2025146,Amrutha,Polisetty,FEMALE,2012-03-07,2025-06-01,26,AY2025-2026,C7,A,ACTIVE
ADM2025147,Anirudh,Katta,MALE,2012-04-08,2025-06-01,27,AY2025-2026,C7,A,ACTIVE
ADM2025148,Alekhya,Chilukuri,FEMALE,2012-05-09,2025-06-01,28,AY2025-2026,C7,A,ACTIVE
ADM2025149,Anirudh,Medasani,MALE,2012-06-10,2025-06-01,29,AY2025-2026,C7,A,ACTIVE
ADM2025150,Ishwarya,Nimmagadda,FEMALE,2012-07-11,2025-06-01,30,AY2025-2026,C7,A,ACTIVE
ADM2025151,Uday,Rao,MALE,2012-08-12,2025-06-01,1,AY2025-2026,C7,B,ACTIVE
ADM2025152,Harini,Reddy,FEMALE,2012-09-13,2025-06-01,2,AY2025-2026,C7,B,ACTIVE
ADM2025153,Deepak,Sharma,MALE,2012-10-14,2025-06-01,3,AY2025-2026,C7,B,ACTIVE
ADM2025154,Vandana,Goud,FEMALE,2012-11-15,2025-06-01,4,AY2025-2026,C7,B,ACTIVE
ADM2025155,Siddharth,Chowdary,MALE,2012-12-16,2025-06-01,5,AY2025-2026,C7,B,ACTIVE
ADM2025156,Ishwarya,Varma,FEMALE,2012-01-17,2025-06-01,6,AY2025-2026,C7,B,ACTIVE
ADM2025157,Sameer,Naidu,MALE,2012-02-18,2025-06-01,7,AY2025-2026,C7,B,ACTIVE
ADM2025158,Niharika,Gupta,FEMALE,2012-03-19,2025-06-01,8,AY2025-2026,C7,B,ACTIVE
ADM2025159,Bhavan,Murthy,MALE,2012-04-20,2025-06-01,9,AY2025-2026,C7,B,ACTIVE
ADM2025160,Sharanya,Sastry,FEMALE,2012-05-21,2025-06-01,10,AY2025-2026,C7,B,ACTIVE
ADM2025161,Pavan,Babu,MALE,2012-06-22,2025-06-01,11,AY2025-2026,C7,B,ACTIVE
ADM2025162,Niharika,Yadav,FEMALE,2012-07-23,2025-06-01,12,AY2025-2026,C7,B,ACTIVE
ADM2025163,Vijay,Patel,MALE,2012-08-24,2025-06-01,13,AY2025-2026,C7,B,ACTIVE
ADM2025164,Shravani,Venkatesh,FEMALE,2012-09-25,2025-06-01,14,AY2025-2026,C7,B,ACTIVE
ADM2025165,Teja,Vemula,MALE,2012-10-26,2025-06-01,15,AY2025-2026,C7,B,ACTIVE
ADM2025166,Amrutha,Bandi,FEMALE,2012-11-27,2025-06-01,16,AY2025-2026,C7,B,ACTIVE
ADM2025167,Vijay,Kandula,MALE,2012-12-28,2025-06-01,17,AY2025-2026,C7,B,ACTIVE
ADM2025168,Sruthi,Gudepu,FEMALE,2012-01-01,2025-06-01,18,AY2025-2026,C7,B,ACTIVE
ADM2025169,Bhavan,Singireddy,MALE,2012-02-02,2025-06-01,19,AY2025-2026,C7,B,ACTIVE
ADM2025170,Geetha,Pothula,FEMALE,2012-03-03,2025-06-01,20,AY2025-2026,C7,B,ACTIVE
ADM2025171,Satish,Kondapalli,MALE,2012-04-04,2025-06-01,21,AY2025-2026,C7,B,ACTIVE
ADM2025172,Bhavya,Malkapuram,FEMALE,2012-05-05,2025-06-01,22,AY2025-2026,C7,B,ACTIVE
ADM2025173,Ganesh,Chintala,MALE,2012-06-06,2025-06-01,23,AY2025-2026,C7,B,ACTIVE
ADM2025174,Pooja,Gaddam,FEMALE,2012-07-07,2025-06-01,24,AY2025-2026,C7,B,ACTIVE
ADM2025175,Anirudh,Boddu,MALE,2012-08-08,2025-06-01,25,AY2025-2026,C7,B,ACTIVE
ADM2025176,Sruthi,Maddela,FEMALE,2012-09-09,2025-06-01,26,AY2025-2026,C7,B,ACTIVE
ADM2025177,Bhavan,Komati,MALE,2012-10-10,2025-06-01,27,AY2025-2026,C7,B,ACTIVE
ADM2025178,Sanjana,Narra,FEMALE,2012-11-11,2025-06-01,28,AY2025-2026,C7,B,ACTIVE
ADM2025179,Manish,Thota,MALE,2012-12-12,2025-06-01,29,AY2025-2026,C7,B,ACTIVE
ADM2025180,Yamini,Avula,FEMALE,2012-01-13,2025-06-01,30,AY2025-2026,C7,B,ACTIVE
ADM2025181,Vinay,Siripuram,MALE,2011-02-14,2025-06-01,1,AY2025-2026,C8,A,ACTIVE
ADM2025182,Deepika,Yerra,FEMALE,2011-03-15,2025-06-01,2,AY2025-2026,C8,A,ACTIVE
ADM2025183,Sandeep,Goli,MALE,2011-04-16,2025-06-01,3,AY2025-2026,C8,A,ACTIVE
ADM2025184,Harini,Sunkari,FEMALE,2011-05-17,2025-06-01,4,AY2025-2026,C8,A,ACTIVE
ADM2025185,Akhil,Mothukuri,MALE,2011-06-18,2025-06-01,5,AY2025-2026,C8,A,ACTIVE
ADM2025186,Meghana,Dasari,FEMALE,2011-07-19,2025-06-01,6,AY2025-2026,C8,A,ACTIVE
ADM2025187,Praneeth,Challa,MALE,2011-08-20,2025-06-01,7,AY2025-2026,C8,A,ACTIVE
ADM2025188,Vandana,Boya,FEMALE,2011-09-21,2025-06-01,8,AY2025-2026,C8,A,ACTIVE
ADM2025189,Yashwanth,Kammari,MALE,2011-10-22,2025-06-01,9,AY2025-2026,C8,A,ACTIVE
ADM2025190,Kavya,Vangala,FEMALE,2011-11-23,2025-06-01,10,AY2025-2026,C8,A,ACTIVE
ADM2025191,Venkatesh,Nallam,MALE,2011-12-24,2025-06-01,11,AY2025-2026,C8,A,ACTIVE
ADM2025192,Srini,Katakam,FEMALE,2011-01-25,2025-06-01,12,AY2025-2026,C8,A,ACTIVE
ADM2025193,Uday,Gampa,MALE,2011-02-26,2025-06-01,13,AY2025-2026,C8,A,ACTIVE
ADM2025194,Pravallika,Peddinti,FEMALE,2011-03-27,2025-06-01,14,AY2025-2026,C8,A,ACTIVE
ADM2025195,Goutham,Komuravelli,MALE,2011-04-28,2025-06-01,15,AY2025-2026,C8,A,ACTIVE
ADM2025196,Harini,Polisetty,FEMALE,2011-05-01,2025-06-01,16,AY2025-2026,C8,A,ACTIVE
ADM2025197,Srikanth,Katta,MALE,2011-06-02,2025-06-01,17,AY2025-2026,C8,A,ACTIVE
ADM2025198,Radhika,Chilukuri,FEMALE,2011-07-03,2025-06-01,18,AY2025-2026,C8,A,ACTIVE
ADM2025199,Vikram,Medasani,MALE,2011-08-04,2025-06-01,19,AY2025-2026,C8,A,ACTIVE
ADM2025200,Amrutha,Nimmagadda,FEMALE,2011-09-05,2025-06-01,20,AY2025-2026,C8,A,ACTIVE
ADM2025201,Srikanth,Rao,MALE,2011-10-06,2025-06-01,21,AY2025-2026,C8,A,ACTIVE
ADM2025202,Pratyusha,Reddy,FEMALE,2011-11-07,2025-06-01,22,AY2025-2026,C8,A,ACTIVE
ADM2025203,Eshwar,Sharma,MALE,2011-12-08,2025-06-01,23,AY2025-2026,C8,A,ACTIVE
ADM2025204,Vennela,Goud,FEMALE,2011-01-09,2025-06-01,24,AY2025-2026,C8,A,ACTIVE
ADM2025205,Arjun,Chowdary,MALE,2011-02-10,2025-06-01,25,AY2025-2026,C8,A,ACTIVE
ADM2025206,Ananya,Varma,FEMALE,2011-03-11,2025-06-01,26,AY2025-2026,C8,A,ACTIVE
ADM2025207,Anirudh,Naidu,MALE,2011-04-12,2025-06-01,27,AY2025-2026,C8,A,ACTIVE
ADM2025208,Swathi,Gupta,FEMALE,2011-05-13,2025-06-01,28,AY2025-2026,C8,A,ACTIVE
ADM2025209,Rahul,Murthy,MALE,2011-06-14,2025-06-01,29,AY2025-2026,C8,A,ACTIVE
ADM2025210,Varshini,Sastry,FEMALE,2011-07-15,2025-06-01,30,AY2025-2026,C8,A,ACTIVE
ADM2025211,Siddharth,Babu,MALE,2011-08-16,2025-06-01,1,AY2025-2026,C8,B,ACTIVE
ADM2025212,Ruchitha,Yadav,FEMALE,2011-09-17,2025-06-01,2,AY2025-2026,C8,B,ACTIVE
ADM2025213,Aditya,Patel,MALE,2011-10-18,2025-06-01,3,AY2025-2026,C8,B,ACTIVE
ADM2025214,Anusha,Venkatesh,FEMALE,2011-11-19,2025-06-01,4,AY2025-2026,C8,B,ACTIVE
ADM2025215,Uday,Vemula,MALE,2011-12-20,2025-06-01,5,AY2025-2026,C8,B,ACTIVE
ADM2025216,Rashmitha,Bandi,FEMALE,2011-01-21,2025-06-01,6,AY2025-2026,C8,B,ACTIVE
ADM2025217,Naveen,Kandula,MALE,2011-02-22,2025-06-01,7,AY2025-2026,C8,B,ACTIVE
ADM2025218,Harini,Gudepu,FEMALE,2011-03-23,2025-06-01,8,AY2025-2026,C8,B,ACTIVE
ADM2025219,Vignesh,Singireddy,MALE,2011-04-24,2025-06-01,9,AY2025-2026,C8,B,ACTIVE
ADM2025220,Ishwarya,Pothula,FEMALE,2011-05-25,2025-06-01,10,AY2025-2026,C8,B,ACTIVE
ADM2025221,Rahul,Kondapalli,MALE,2011-06-26,2025-06-01,11,AY2025-2026,C8,B,ACTIVE
ADM2025222,Sharanya,Malkapuram,FEMALE,2011-07-27,2025-06-01,12,AY2025-2026,C8,B,ACTIVE
ADM2025223,Manoj,Chintala,MALE,2011-08-28,2025-06-01,13,AY2025-2026,C8,B,ACTIVE
ADM2025224,Krithi,Gaddam,FEMALE,2011-09-01,2025-06-01,14,AY2025-2026,C8,B,ACTIVE
ADM2025225,Anirudh,Boddu,MALE,2011-10-02,2025-06-01,15,AY2025-2026,C8,B,ACTIVE
ADM2025226,Pooja,Maddela,FEMALE,2011-11-03,2025-06-01,16,AY2025-2026,C8,B,ACTIVE
ADM2025227,Siddharth,Komati,MALE,2011-12-04,2025-06-01,17,AY2025-2026,C8,B,ACTIVE
ADM2025228,Ananya,Narra,FEMALE,2011-01-05,2025-06-01,18,AY2025-2026,C8,B,ACTIVE
ADM2025229,Harsha,Thota,MALE,2011-02-06,2025-06-01,19,AY2025-2026,C8,B,ACTIVE
ADM2025230,Jahnavi,Avula,FEMALE,2011-03-07,2025-06-01,20,AY2025-2026,C8,B,ACTIVE
ADM2025231,Pavan,Siripuram,MALE,2011-04-08,2025-06-01,21,AY2025-2026,C8,B,ACTIVE
ADM2025232,Ananya,Yerra,FEMALE,2011-05-09,2025-06-01,22,AY2025-2026,C8,B,ACTIVE
ADM2025233,Pranav,Goli,MALE,2011-06-10,2025-06-01,23,AY2025-2026,C8,B,ACTIVE
ADM2025234,Deepika,Sunkari,FEMALE,2011-07-11,2025-06-01,24,AY2025-2026,C8,B,ACTIVE
ADM2025235,Manish,Mothukuri,MALE,2011-08-12,2025-06-01,25,AY2025-2026,C8,B,ACTIVE
ADM2025236,Sirisha,Dasari,FEMALE,2011-09-13,2025-06-01,26,AY2025-2026,C8,B,ACTIVE
ADM2025237,Surya,Challa,MALE,2011-10-14,2025-06-01,27,AY2025-2026,C8,B,ACTIVE
