guardian_code,first_name,last_name,gender,date_of_birth,mobile,email,guardian_type,status
GRD064,Rahul,Venkatesh,MALE,1985-05-09,9849000064,parent.krithi.venkatesh64@telanganaparents.org,FATHER,ACTIVE
GRD065,Anirudh,Vemula,MALE,1984-06-10,9849000065,parent.koushik.vemula65@telanganaparents.org,FATHER,ACTIVE
GRD066,Vaishnavi,Bandi,FEMALE,1983-07-11,9849000066,parent.harini.bandi66@telanganaparents.org,MOTHER,ACTIVE
GRD067,Vignesh,Kandula,MALE,1982-08-12,9849000067,parent.siddharth.kandula67@telanganaparents.org,FATHER,ACTIVE
GRD068,Harsha,Gudepu,MALE,1981-09-13,9849000068,parent.krithi.gudepu68@telanganaparents.org,FATHER,ACTIVE
GRD069,Pravallika,Singireddy,FEMALE,1980-10-14,9849000069,parent.teja.singireddy69@telanganaparents.org,MOTHER,ACTIVE
GRD070,Teja,Pothula,MALE,1979-11-15,9849000070,parent.navya.pothula70@telanganaparents.org,FATHER,ACTIVE
GRD071,Dhanush,Kondapalli,MALE,1978-12-16,9849000071,parent.sai.kondapalli71@telanganaparents.org,FATHER,ACTIVE
GRD072,Bhavya,Malkapuram,FEMALE,1985-01-17,9849000072,parent.jahnavi.malkapuram72@telanganaparents.org,MOTHER,ACTIVE
GRD073,Vikram,Chintala,MALE,1984-02-18,9849000073,parent.kalyan.chintala73@telanganaparents.org,FATHER,ACTIVE
GRD074,Satish,Gaddam,MALE,1983-03-19,9849000074,parent.ramya.gaddam74@telanganaparents.org,FATHER,ACTIVE
GRD075,Spandana,Boddu,FEMALE,1982-04-20,9849000075,parent.karthik.boddu75@telanganaparents.org,MOTHER,ACTIVE
GRD076,Rishi,Maddela,MALE,1981-05-21,9849000076,parent.ruchitha.maddela76@telanganaparents.org,FATHER,ACTIVE
GRD077,Rahul,Komati,MALE,1980-06-22,9849000077,parent.srikanth.komati77@telanganaparents.org,FATHER,ACTIVE
GRD078,Harshini,Narra,FEMALE,1979-07-23,9849000078,parent.manasa.narra78@telanganaparents.org,MOTHER,ACTIVE
GRD079,Santosh,Thota,MALE,1978-08-24,9849000079,parent.deepak.thota79@telanganaparents.org,FATHER,ACTIVE
GRD080,Arjun,Avula,MALE,1985-09-25,9849000080,parent.pravallika.avula80@telanganaparents.org,FATHER,ACTIVE
GRD081,Amrutha,Siripuram,FEMALE,1984-10-26,9849000081,parent.vinay.siripuram81@telanganaparents.org,MOTHER,ACTIVE
GRD082,Chaitanya,Yerra,MALE,1983-11-27,9849000082,parent.swathi.yerra82@telanganaparents.org,FATHER,ACTIVE
GRD083,Tarun,Goli,MALE,1982-12-28,9849000083,parent.dhanush.goli83@telanganaparents.org,FATHER,ACTIVE
GRD084,Srini,Sunkari,FEMALE,1981-01-01,9849000084,parent.deepika.sunkari84@telanganaparents.org,MOTHER,ACTIVE
GRD085,Rishi,Mothukuri,MALE,1980-02-02,9849000085,parent.varun.mothukuri85@telanganaparents.org,FATHER,ACTIVE
GRD086,Anirudh,Dasari,MALE,1979-03-03,9849000086,parent.sahithi.dasari86@telanganaparents.org,FATHER,ACTIVE
GRD087,Meghana,Challa,FEMALE,1978-04-04,9849000087,parent.praneeth.challa87@telanganaparents.org,MOTHER,ACTIVE
GRD088,Sai,Boya,MALE,1985-05-05,9849000088,parent.sahithi.boya88@telanganaparents.org,FATHER,ACTIVE
GRD089,Karthik,Kammari,MALE,1984-06-06,9849000089,parent.sarath.kammari89@telanganaparents.org,FATHER,ACTIVE
GRD090,Ramya,Vangala,FEMALE,1983-07-07,9849000090,parent.yamini.vangala90@telanganaparents.org,MOTHER,ACTIVE
GRD091,Varun,Nallam,MALE,1982-08-08,9849000091,parent.aarav.nallam91@telanganaparents.org,FATHER,ACTIVE
GRD092,Chaitanya,Katakam,MALE,1981-09-09,9849000092,parent.sneha.katakam92@telanganaparents.org,FATHER,ACTIVE
GRD093,Tanmayi,Gampa,FEMALE,1980-10-10,9849000093,parent.varun.gampa93@telanganaparents.org,MOTHER,ACTIVE
GRD094,Vinay,Peddinti,MALE,1979-11-11,9849000094,parent.radhika.peddinti94@telanganaparents.org,FATHER,ACTIVE
GRD095,Vishnu,Komuravelli,MALE,1978-12-12,9849000095,parent.koushik.komuravelli95@telanganaparents.org,FATHER,ACTIVE
GRD096,Lavanya,Polisetty,FEMALE,1985-01-13,9849000096,parent.sanjana.polisetty96@telanganaparents.org,MOTHER,ACTIVE
GRD097,Lokesh,Katta,MALE,1984-02-14,9849000097,parent.chaitanya.katta97@telanganaparents.org,FATHER,ACTIVE
GRD098,Eshwar,Chilukuri,MALE,1983-03-15,9849000098,parent.pallavi.chilukuri98@telanganaparents.org,FATHER,ACTIVE
GRD099,Aadhya,Medasani,FEMALE,1982-04-16,9849000099,parent.sai.medasani99@telanganaparents.org,MOTHER,ACTIVE
GRD100,Vijay,Nimmagadda,MALE,1981-05-17,9849000100,parent.vennela.nimmagadda100@telanganaparents.org,FATHER,ACTIVE
GRD101,Karthik,Rao,MALE,1980-06-18,9849000101,parent.vijay.rao101@telanganaparents.org,FATHER,ACTIVE
GRD102,Pratyusha,Reddy,FEMALE,1979-07-19,9849000102,parent.yamini.reddy102@telanganaparents.org,MOTHER,ACTIVE
GRD103,Ganesh,Sharma,MALE,1978-08-20,9849000103,parent.vinay.sharma103@telanganaparents.org,FATHER,ACTIVE
GRD104,Bhavan,Goud,MALE,1985-09-21,9849000104,parent.pratyusha.goud104@telanganaparents.org,FATHER,ACTIVE
GRD105,Keerthi,Chowdary,FEMALE,1984-10-22,9849000105,parent.tarun.chowdary105@telanganaparents.org,MOTHER,ACTIVE
GRD106,Tarun,Varma,MALE,1983-11-23,9849000106,parent.suhasini.varma106@telanganaparents.org,FATHER,ACTIVE
GRD107,Srinivas,Naidu,MALE,1982-12-24,9849000107,parent.santosh.naidu107@telanganaparents.org,FATHER,ACTIVE
GRD108,Chandana,Gupta,FEMALE,1981-01-25,9849000108,parent.geetha.gupta108@telanganaparents.org,MOTHER,ACTIVE
GRD109,Vinay,Murthy,MALE,1980-02-26,9849000109,parent.pranav.murthy109@telanganaparents.org,FATHER,ACTIVE
GRD110,Satish,Sastry,MALE,1979-03-27,9849000110,parent.deepika.sastry110@telanganaparents.org,FATHER,ACTIVE
GRD111,Vandana,Babu,FEMALE,1978-04-28,9849000111,parent.vishnu.babu111@telanganaparents.org,MOTHER,ACTIVE
GRD112,Aarav,Yadav,MALE,1985-05-01,9849000112,parent.priyanka.yadav112@telanganaparents.org,FATHER,ACTIVE
GRD113,Naveen,Patel,MALE,1984-06-02,9849000113,parent.srinivas.patel113@telanganaparents.org,FATHER,ACTIVE
GRD114,Aakanksha,Venkatesh,FEMALE,1983-07-03,9849000114,parent.pravallika.venkatesh114@telanganaparents.org,MOTHER,ACTIVE
GRD115,Pranav,Vemula,MALE,1982-08-04,9849000115,parent.chaitanya.vemula115@telanganaparents.org,FATHER,ACTIVE
GRD116,Manish,Bandi,MALE,1981-09-05,9849000116,parent.tanmayi.bandi116@telanganaparents.org,FATHER,ACTIVE
GRD117,Keerthi,Kandula,FEMALE,1980-10-06,9849000117,parent.chandra.kandula117@telanganaparents.org,MOTHER,ACTIVE
GRD118,Akhil,Gudepu,MALE,1979-11-07,9849000118,parent.ishwarya.gudepu118@telanganaparents.org,FATHER,ACTIVE
GRD119,Siddharth,Singireddy,MALE,1978-12-08,9849000119,parent.kalyan.singireddy119@telanganaparents.org,FATHER,ACTIVE
GRD120,Anusha,Pothula,FEMALE,1985-01-09,9849000120,parent.varshini.pothula120@telanganaparents.org,MOTHER,ACTIVE
GRD121,Vijay,Kondapalli,MALE,1983-02-10,9849000121,parent.arjun.kondapalli121@telanganaparents.org,FATHER,ACTIVE
GRD122,Madhav,Malkapuram,MALE,1982-03-11,9849000122,parent.pravallika.malkapuram122@telanganaparents.org,FATHER,ACTIVE
GRD123,Yamini,Chintala,FEMALE,1981-04-12,9849000123,parent.anirudh.chintala123@telanganaparents.org,MOTHER,ACTIVE
GRD124,Satish,Gaddam,MALE,1980-05-13,9849000124,parent.sravya.gaddam124@telanganaparents.org,FATHER,ACTIVE
GRD125,Deepak,Boddu,MALE,1979-06-14,9849000125,parent.vishnu.boddu125@telanganaparents.org,FATHER,ACTIVE
GRD126,Sharanya,Maddela,FEMALE,1978-07-15,9849000126,parent.bhavya.maddela126@telanganaparents.org,MOTHER,ACTIVE
GRD127,Shashi,Komati,MALE,1977-08-16,9849000127,parent.sameer.komati127@telanganaparents.org,FATHER,ACTIVE
GRD128,Karthik,Narra,MALE,1984-09-17,9849000128,parent.deepika.narra128@telanganaparents.org,FATHER,ACTIVE
GRD129,Swathi,Thota,FEMALE,1983-10-18,9849000129,parent.sarath.thota129@telanganaparents.org,MOTHER,ACTIVE
GRD130,Rishi,Avula,MALE,1982-11-19,9849000130,parent.sahithi.avula130@telanganaparents.org,FATHER,ACTIVE
GRD131,Satish,Siripuram,MALE,1981-12-20,9849000131,parent.harsha.siripuram131@telanganaparents.org,FATHER,ACTIVE
GRD132,Sneha,Yerra,FEMALE,1980-01-21,9849000132,parent.sravya.yerra132@telanganaparents.org,MOTHER,ACTIVE
GRD133,Goutham,Goli,MALE,1979-02-22,9849000133,parent.venkatesh.goli133@telanganaparents.org,FATHER,ACTIVE
GRD134,Manoj,Sunkari,MALE,1978-03-23,9849000134,parent.sirisha.sunkari134@telanganaparents.org,FATHER,ACTIVE
GRD135,Sharanya,Mothukuri,FEMALE,1977-04-24,9849000135,parent.rahul.mothukuri135@telanganaparents.org,MOTHER,ACTIVE
GRD136,Pranav,Dasari,MALE,1984-05-25,9849000136,parent.sanjana.dasari136@telanganaparents.org,FATHER,ACTIVE
GRD137,Sarath,Challa,MALE,1983-06-26,9849000137,parent.rohit.challa137@telanganaparents.org,FATHER,ACTIVE
GRD138,Bhavana,Boya,FEMALE,1982-07-27,9849000138,parent.pavani.boya138@telanganaparents.org,MOTHER,ACTIVE
GRD139,Hemant,Kammari,MALE,1981-08-28,9849000139,parent.kalyan.kammari139@telanganaparents.org,FATHER,ACTIVE
GRD140,Nikhil,Vangala,MALE,1980-09-01,9849000140,parent.ananya.vangala140@telanganaparents.org,FATHER,ACTIVE
GRD141,Ruchitha,Nallam,FEMALE,1979-10-02,9849000141,parent.abhinav.nallam141@telanganaparents.org,MOTHER,ACTIVE
GRD142,Hemant,Katakam,MALE,1978-11-03,9849000142,parent.ramya.katakam142@telanganaparents.org,FATHER,ACTIVE
GRD143,Hemant,Gampa,MALE,1977-12-04,9849000143,parent.srikanth.gampa143@telanganaparents.org,FATHER,ACTIVE
GRD144,Ananya,Peddinti,FEMALE,1984-01-05,9849000144,parent.aadhya.peddinti144@telanganaparents.org,MOTHER,ACTIVE
GRD145,Tarun,Komuravelli,MALE,1983-02-06,9849000145,parent.vignesh.komuravelli145@telanganaparents.org,FATHER,ACTIVE
GRD146,Hemant,Polisetty,MALE,1982-03-07,9849000146,parent.amrutha.polisetty146@telanganaparents.org,FATHER,ACTIVE
GRD147,Tejaswi,Katta,FEMALE,1981-04-08,9849000147,parent.anirudh.katta147@telanganaparents.org,MOTHER,ACTIVE
GRD148,Nikhil,Chilukuri,MALE,1980-05-09,9849000148,parent.alekhya.chilukuri148@telanganaparents.org,FATHER,ACTIVE
GRD149,Santosh,Medasani,MALE,1979-06-10,9849000149,parent.anirudh.medasani149@telanganaparents.org,FATHER,ACTIVE
GRD150,Jyothi,Nimmagadda,FEMALE,1978-07-11,9849000150,parent.ishwarya.nimmagadda150@telanganaparents.org,MOTHER,ACTIVE
GRD151,Sandeep,Rao,MALE,1977-08-12,9849000151,parent.uday.rao151@telanganaparents.org,FATHER,ACTIVE
GRD152,Satish,Reddy,MALE,1984-09-13,9849000152,parent.harini.reddy152@telanganaparents.org,FATHER,ACTIVE
GRD153,Sneha,Sharma,FEMALE,1983-10-14,9849000153,parent.deepak.sharma153@telanganaparents.org,MOTHER,ACTIVE
GRD154,Siddharth,Goud,MALE,1982-11-15,9849000154,parent.vandana.goud154@telanganaparents.org,FATHER,ACTIVE
GRD155,Sameer,Chowdary,MALE,1981-12-16,9849000155,parent.siddharth.chowdary155@telanganaparents.org,FATHER,ACTIVE
GRD156,Srini,Varma,FEMALE,1980-01-17,9849000156,parent.ishwarya.varma156@telanganaparents.org,MOTHER,ACTIVE
GRD157,Chandra,Naidu,MALE,1979-02-18,9849000157,parent.sameer.naidu157@telanganaparents.org,FATHER,ACTIVE
GRD158,Goutham,Gupta,MALE,1978-03-19,9849000158,parent.niharika.gupta158@telanganaparents.org,FATHER,ACTIVE
GRD159,Archana,Murthy,FEMALE,1977-04-20,9849000159,parent.bhavan.murthy159@telanganaparents.org,MOTHER,ACTIVE
GRD160,Rishi,Sastry,MALE,1984-05-21,9849000160,parent.sharanya.sastry160@telanganaparents.org,FATHER,ACTIVE
GRD161,Rishi,Babu,MALE,1983-06-22,9849000161,parent.pavan.babu161@telanganaparents.org,FATHER,ACTIVE
GRD162,Pooja,Yadav,FEMALE,1982-07-23,9849000162,parent.niharika.yadav162@telanganaparents.org,MOTHER,ACTIVE
GRD163,Akhil,Patel,MALE,1981-08-24,9849000163,parent.vijay.patel163@telanganaparents.org,FATHER,ACTIVE
GRD164,Teja,Venkatesh,MALE,1980-09-25,9849000164,parent.shravani.venkatesh164@telanganaparents.org,FATHER,ACTIVE
GRD165,Archana,Vemula,FEMALE,1979-10-26,9849000165,parent.teja.vemula165@telanganaparents.org,MOTHER,ACTIVE
GRD166,Rahul,Bandi,MALE,1978-11-27,9849000166,parent.amrutha.bandi166@telanganaparents.org,FATHER,ACTIVE
GRD167,Nikhil,Kandula,MALE,1977-12-28,9849000167,parent.vijay.kandula167@telanganaparents.org,FATHER,ACTIVE
GRD168,Swathi,Gudepu,FEMALE,1984-01-01,9849000168,parent.sruthi.gudepu168@telanganaparents.org,MOTHER,ACTIVE
GRD169,Kalyan,Singireddy,MALE,1983-02-02,9849000169,parent.bhavan.singireddy169@telanganaparents.org,FATHER,ACTIVE
GRD170,Goutham,Pothula,MALE,1982-03-03,9849000170,parent.geetha.pothula170@telanganaparents.org,FATHER,ACTIVE
GRD171,Pavani,Kondapalli,FEMALE,1981-04-04,9849000171,parent.satish.kondapalli171@telanganaparents.org,MOTHER,ACTIVE
GRD172,Rishi,Malkapuram,MALE,1980-05-05,9849000172,parent.bhavya.malkapuram172@telanganaparents.org,FATHER,ACTIVE
GRD173,Koushik,Chintala,MALE,1979-06-06,9849000173,parent.ganesh.chintala173@telanganaparents.org,FATHER,ACTIVE
GRD174,Ishwarya,Gaddam,FEMALE,1978-07-07,9849000174,parent.pooja.gaddam174@telanganaparents.org,MOTHER,ACTIVE
GRD175,Rohit,Boddu,MALE,1977-08-08,9849000175,parent.anirudh.boddu175@telanganaparents.org,FATHER,ACTIVE
GRD176,Shashi,Maddela,MALE,1984-09-09,9849000176,parent.sruthi.maddela176@telanganaparents.org,FATHER,ACTIVE
GRD177,Amrutha,Komati,FEMALE,1983-10-10,9849000177,parent.bhavan.komati177@telanganaparents.org,MOTHER,ACTIVE
GRD178,Satish,Narra,MALE,1982-11-11,9849000178,parent.sanjana.narra178@telanganaparents.org,FATHER,ACTIVE
GRD179,Aarav,Thota,MALE,1981-12-12,9849000179,parent.manish.thota179@telanganaparents.org,FATHER,ACTIVE
GRD180,Anusha,Avula,FEMALE,1980-01-13,9849000180,parent.yamini.avula180@telanganaparents.org,MOTHER,ACTIVE
GRD181,Kalyan,Siripuram,MALE,1978-02-14,9849000181,parent.vinay.siripuram181@telanganaparents.org,FATHER,ACTIVE
GRD182,Rakesh,Yerra,MALE,1977-03-15,9849000182,parent.deepika.yerra182@telanganaparents.org,FATHER,ACTIVE
GRD183,Pranathi,Goli,FEMALE,1976-04-16,9849000183,parent.sandeep.goli183@telanganaparents.org,MOTHER,ACTIVE
GRD184,Rahul,Sunkari,MALE,1983-05-17,9849000184,parent.harini.sunkari184@telanganaparents.org,FATHER,ACTIVE
GRD185,Eshwar,Mothukuri,MALE,1982-06-18,9849000185,parent.akhil.mothukuri185@telanganaparents.org,FATHER,ACTIVE
GRD186,Aadhya,Dasari,FEMALE,1981-07-19,9849000186,parent.meghana.dasari186@telanganaparents.org,MOTHER,ACTIVE
GRD187,Karthik,Challa,MALE,1980-08-20,9849000187,parent.praneeth.challa187@telanganaparents.org,FATHER,ACTIVE
GRD188,Yashwanth,Boya,MALE,1979-09-21,9849000188,parent.vandana.boya188@telanganaparents.org,FATHER,ACTIVE
GRD189,Pooja,Kammari,FEMALE,1978-10-22,9849000189,parent.yashwanth.kammari189@telanganaparents.org,MOTHER,ACTIVE
GRD190,Rishi,Vangala,MALE,1977-11-23,9849000190,parent.kavya.vangala190@telanganaparents.org,FATHER,ACTIVE
GRD191,Vijay,Nallam,MALE,1976-12-24,9849000191,parent.venkatesh.nallam191@telanganaparents.org,FATHER,ACTIVE
GRD192,Ramya,Katakam,FEMALE,1983-01-25,9849000192,parent.srini.katakam192@telanganaparents.org,MOTHER,ACTIVE
GRD193,Vignesh,Gampa,MALE,1982-02-26,9849000193,parent.uday.gampa193@telanganaparents.org,FATHER,ACTIVE
GRD194,Dhanush,Peddinti,MALE,1981-03-27,9849000194,parent.pravallika.peddinti194@telanganaparents.org,FATHER,ACTIVE
GRD195,Kavya,Komuravelli,FEMALE,1980-04-28,9849000195,parent.goutham.komuravelli195@telanganaparents.org,MOTHER,ACTIVE
GRD196,Akhil,Polisetty,MALE,1979-05-01,9849000196,parent.harini.polisetty196@telanganaparents.org,FATHER,ACTIVE
GRD197,Vikram,Katta,MALE,1978-06-02,9849000197,parent.srikanth.katta197@telanganaparents.org,FATHER,ACTIVE
GRD198,Amrutha,Chilukuri,FEMALE,1977-07-03,9849000198,parent.radhika.chilukuri198@telanganaparents.org,MOTHER,ACTIVE
GRD199,Naveen,Medasani,MALE,1976-08-04,9849000199,parent.vikram.medasani199@telanganaparents.org,FATHER,ACTIVE
GRD200,Akhil,Nimmagadda,MALE,1983-09-05,9849000200,parent.amrutha.nimmagadda200@telanganaparents.org,FATHER,ACTIVE
GRD201,Pranathi,Rao,FEMALE,1982-10-06,9849000201,parent.srikanth.rao201@telanganaparents.org,MOTHER,ACTIVE
GRD202,Sarath,Reddy,MALE,1981-11-07,9849000202,parent.pratyusha.reddy202@telanganaparents.org,FATHER,ACTIVE
GRD203,Akhil,Sharma,MALE,1980-12-08,9849000203,parent.eshwar.sharma203@telanganaparents.org,FATHER,ACTIVE
GRD204,Pratyusha,Goud,FEMALE,1979-01-09,9849000204,parent.vennela.goud204@telanganaparents.org,MOTHER,ACTIVE
GRD205,Ganesh,Chowdary,MALE,1978-02-10,9849000205,parent.arjun.chowdary205@telanganaparents.org,FATHER,ACTIVE
GRD206,Srinivas,Varma,MALE,1977-03-11,9849000206,parent.ananya.varma206@telanganaparents.org,FATHER,ACTIVE
GRD207,Shravani,Naidu,FEMALE,1976-04-12,9849000207,parent.anirudh.naidu207@telanganaparents.org,MOTHER,ACTIVE
GRD208,Kalyan,Gupta,MALE,1983-05-13,9849000208,parent.swathi.gupta208@telanganaparents.org,FATHER,ACTIVE
GRD209,Chaitanya,Murthy,MALE,1982-06-14,9849000209,parent.rahul.murthy209@telanganaparents.org,FATHER,ACTIVE
GRD210,Tanmayi,Sastry,FEMALE,1981-07-15,9849000210,parent.varshini.sastry210@telanganaparents.org,MOTHER,ACTIVE
